Date,Price
2022-03-29,50730
2022-03-30,51042
2022-03-31,51633
2022-04-01,51264
2022-04-04,51229
2022-04-05,51240
2022-04-06,51433
2022-04-07,51681
2022-04-08,51854
2022-04-11,51985
2022-04-12,52656
2022-04-13,52871
2022-04-14,52793
2022-04-18,53104
2022-04-19,52603
2022-04-20,52499
2022-04-21,52356
2022-04-22,52250
2022-04-25,51462
2022-04-26,51655
2022-04-27,51357
2022-04-28,51450
2022-04-29,51809
2022-05-02,50831
2022-05-03,51022
2022-05-04,50836
2022-05-05,51653
2022-05-06,51381
2022-05-09,51026
2022-05-10,50662
2022-05-11,50862
2022-05-12,50249
2022-05-13,49944
2022-05-16,50291
2022-05-17,50237
2022-05-18,50235
2022-05-19,50579
2022-05-20,50842
2022-05-23,50934
2022-05-24,51146
2022-05-25,50815
2022-05-26,50858
2022-05-27,50961
2022-05-30,50908
2022-05-31,50924
2022-06-01,50504
2022-06-02,51078
2022-06-03,51287
2022-06-06,50871
2022-06-07,50929
2022-06-08,51036
2022-06-09,50971
2022-06-10,51650
2022-06-13,50682
2022-06-14,50251
2022-06-15,50433
2022-06-16,50945
2022-06-17,50824
2022-06-20,50748
2022-06-21,50775
2022-06-22,50898
2022-06-23,50608
2022-06-24,50614
2022-06-27,50681
2022-06-28,50824
2022-06-29,50836
2022-06-30,50719
2022-07-01,51961
2022-07-04,51808
2022-07-05,51370
2022-07-06,50581
2022-07-07,50691
2022-07-08,50840
2022-07-11,50745
2022-07-12,50547
2022-07-13,50880
2022-07-14,50340
2022-07-15,50185
2022-07-18,50434
2022-07-19,50403
2022-07-20,50309
2022-07-21,50427
2022-07-22,50720
2022-07-25,50567
2022-07-26,50612
2022-07-27,50722
2022-07-28,51274
2022-07-29,51365
2022-08-01,51260
2022-08-02,51274
2022-08-03,51225
2022-08-04,51802
2022-08-05,51820
